Sl. No._x,STATE/U.T.,Enrolment in Class I - Boys ,Enrolment in Class I - Girls,Enrolment in Class I - Total,Enrolment in Class II - Boys ,Enrolment in Class II - Girls,Enrolment in Class II - Total,Enrolment in Class III - Boys ,Enrolment in Class III - Girls,Enrolment in Class III - Total,Enrolment in Class IV - Boys ,Enrolment in Class IV - Girls,Enrolment in Class IV - Total,Enrolment in Class V - Boys ,Enrolment in Class V - Girls,Enrolment in Class V - Total,Enrolment in Class I to V - Boys ,Enrolment in Class I to V - Girls,Enrolment in Class I to V - Total,Sl. No._y,Enrolment in Class VI - Boys,Enrolment in Class VI - Girls,Enrolment in Class VI - Total,Enrolment in Class VII - Boys,Enrolment in Class VII - Girls,Enrolment in Class VII - Total,Enrolment in Class VIII - Boys,Enrolment in Class VIII - Girls,Enrolment in Class VIII - Total,Enrolment in Class VI toVIII - Boys,Enrolment in Class VI toVIII - Girls,Enrolment in Class VI toVIII - Total,Sl. No.,Enrolment in Class IX - Boys,Enrolment in Class IX  - Girls,Enrolment in Class IX - Total,Enrolment in Class X - Boys,Enrolment in Class X - Girls,Enrolment in Class X - Total,Enrolment in Class IX & X - Boys,Enrolment in Class IX & X - Girls,Enrolment in Class IX & X - Total,Enrolment in Class Total (I to X) - Boys,Enrolment in Class Total (I to X) - Girls,Enrolment in Class Total (I to X) - Total
1,Andaman  Nicobar Islands,3515,3338,6853,3388,3223,6611,3430,3303,6733,3624,3353,6977,3527,3458,6985,17484,16675,34159,1,3930,3637,7567,3970,3585,7555,3729,3477,7206,11629,10699,22328,1,3703,3340,7043,2889,2787,5676,6592,6127,12719,35705,33501,69206
2,Andhra Pradesh,796971,758524,1555495,712121,689875,1401996,703884,682357,1386241,691401,673668,1365069,691236,677765,1369001,3595613,3482189,7077802,2,621265,593143,1214408,607580,583275,1190855,573051,549886,1122937,1801896,1726304,3528200,2,552755,528753,1081508,541128,509326,1050454,1093883,1038079,2131962,6491392,6246572,12737964
3,Arunachal Pradesh,29472,27033,56505,23903,21600,45503,21888,19746,41634,19242,17944,37186,17628,16150,33778,112133,102473,214606,3,15789,15397,31186,14483,13415,27898,14256,12925,27181,44528,41737,86265,3,10949,9530,20479,9631,8295,17926,20580,17825,38405,177241,162035,339276
4,Assam,372228,363125,735353,311028,305685,616713,282841,280611,563452,263736,265236,528972,263259,266179,529438,1493092,1480836,2973928,4,254324,260134,514458,248654,258919,507573,222268,236016,458284,725246,755069,1480315,4,173004,184077,357081,125542,128865,254407,298546,312942,611488,2516884,2548847,5065731
5,Bihar,1865743,1754896,3620639,1686785,1603719,3290504,1636896,1539295,3176191,1368363,1238669,2607032,1151446,992050,2143496,7709233,7128629,14837862,5,752481,655494,1407975,674457,589281,1263738,598842,523892,1122734,2025780,1768667,3794447,5,529963,421948,951911,442932,328119,771051,972895,750067,1722962,10707908,9647363,20355271
6,Chandigarh,8627,7708,16335,10042,8401,18443,10714,8938,19652,10638,8348,18986,10226,8297,18523,50247,41692,91939,6,10390,8002,18392,9634,7594,17228,9388,7807,17195,29412,23403,52815,6,8227,6677,14904,7248,5781,13029,15475,12458,27933,95134,77553,172687
7,Chhattisgarh,351329,335288,686617,322067,305417,627484,317005,299812,616817,315637,303239,618876,288131,277438,565569,1594169,1521194,3115363,7,258346,240175,498521,236211,221427,457638,214388,203607,417995,708945,665209,1374154,7,187085,172885,359970,166239,151752,317991,353324,324637,677961,2656438,2511040,5167478
8,Dadra  Nagar Haveli,4250,3763,8013,4203,4017,8220,4346,3867,8213,4095,3727,7822,4080,3677,7757,20974,19051,40025,8,3637,2959,6596,3263,2637,5900,3278,2224,5502,10178,7820,17998,8,2212,1578,3790,1774,1227,3001,3986,2805,6791,35138,29676,64814
9,Daman  Diu,2119,1907,4026,1950,1690,3640,1972,1576,3548,1783,1492,3275,1980,1600,3580,9804,8265,18069,9,1611,1411,3022,1571,1539,3110,1966,1719,3685,5148,4669,9817,9,1391,1203,2594,1059,1086,2145,2450,2289,4739,17402,15223,32625
10,Delhi,186971,164212,351183,187627,171338,358965,189453,161519,350972,187023,156903,343926,178587,148903,327490,929661,802875,1732536,10,171642,144177,315819,164304,138907,303211,211614,178223,389837,547560,461307,1008867,10,158997,133267,292264,123242,105734,228976,282239,239001,521240,1759460,1503183,3262643
11,Goa,13619,12328,25947,13040,12074,25114,12524,11808,24332,13546,12292,25838,13930,11918,25848,66659,60420,127079,11,12680,11118,23798,11706,10606,22312,11706,9479,21185,36092,31203,67295,11,10672,9603,20275,8324,8111,16435,18996,17714,36710,121747,109337,231084
12,Gujarat,623987,540414,1164401,584320,508820,1093140,586459,506201,1092660,579007,500015,1079022,572468,496986,1069454,2946241,2552436,5498677,12,511787,430910,942697,485000,401133,886133,506063,341038,847101,1502850,1173081,2675931,12,425980,285770,711750,356684,243083,599767,782664,528853,1311517,5231755,4254370,9486125
13,Haryana,289278,249760,539038,282360,241506,523866,280147,235391,515538,272804,226888,499692,248069,203667,451736,1372658,1157212,2529870,13,221628,180858,402486,214968,177194,392162,208177,173077,381254,644773,531129,1175902,13,189476,157259,346735,171152,139339,310491,360628,296598,657226,2378059,1984939,4362998
14,Himachal Pradesh,63969,58173,122142,61398,56711,118109,62087,56930,119017,64926,57754,122680,66688,59488,126176,319068,289056,608124,14,70566,62266,132832,69277,61525,130802,78508,69875,148383,218351,193666,412017,14,58869,53610,112479,62752,58134,120886,121621,111744,233365,659040,594466,1253506
15,Jammu  Kashmir,134046,120137,254183,118161,105753,223914,114179,103497,217676,115388,104539,219927,117968,105674,223642,599742,539600,1139342,15,112425,97917,210342,106281,89827,196108,104397,84869,189266,323103,272613,595716,15,86971,71161,158132,61455,49112,110567,148426,120273,268699,1071271,932486,2003757
